Store  ,Format Desc  ,Region ,"Total Sales (Sales Inc VAT, Inc DI)",Completed Order Count,Avg Basket Size (Prod Sales),AIP,IPO,Distinct Customers,Frequency,Avg E2E: total delivery time,DOT% (60 mins),Pick availability (pre-sub),Avg E2E: dispatched to arrived at customer,Avg E2E: pick end to dispatched,Avg E2E: pick trip time,Avg E2E: time at customer door,Avg E2E: time to respond to pick
2075 Fulmar Drive Express,Convenience North,NORTH EAST,"£1,417",35,£37.32,£2.77,13.5,29,1.2,32.7,89.50%,99.70%,6,21,3,2,1
2076 Pontefract Express,Convenience North,NORTH EAST,"£4,437",145,£27.70,£2.84,9.8,106,1.4,29.6,93.70%,97.60%,7,14,4,2,3
2077 Hemlington Express,Convenience North,NORTH EAST,"£3,588",121,£26.49,£2.75,9.6,87,1.4,27.5,99.20%,100.00%,6,15,2,1,3
2085 Mowmacre Express,Convenience Central,MIDLANDS,"£7,053",227,£27.95,£2.96,9.4,144,1.6,25.2,97.80%,99.80%,9,8,3,2,3
2086 Reeds Lane Express,Convenience North,NORTH WEST,"£4,171",138,£27.27,£2.63,10.4,93,1.5,30.9,94.20%,99.50%,6,18,3,1,2
2091 Cottingham Express,Convenience North,NORTH EAST,"£1,315",48,£24.37,£3.44,7.1,30,1.6,21.3,100.00%,97.20%,4,10,3,2,2
2093 Monks Way Express,Convenience North,NORTH EAST,"£1,984",72,£24.51,£2.21,11.1,54,1.3,25.8,98.60%,95.30%,6,13,4,2,1
2106 Whiteleas Way Express,Convenience North,NORTH EAST,"£2,407",67,£32.83,£2.81,11.7,58,1.2,34.6,89.40%,98.90%,7,19,4,1,3
3134 NORTH FELTHAM RD EXP,Convenience London,SOUTH EAST,"£4,454",151,£26.42,£2.91,9.1,108,1.4,24.7,98.00%,97.90%,6,14,3,1,1
4528 Felmores End Express,Convenience Central,SOUTH EAST,"£14,119",478,£26.37,£2.72,9.7,349,1.4,32.7,98.60%,99.80%,8,17,3,2,2
4875 Sanderstead Express,Convenience London,SOUTH EAST,"£9,298",313,£26.62,£2.58,10.3,250,1.3,29.9,94.90%,97.90%,7,13,3,1,5
4901 Victoria Express,Convenience London,GREATER LONDON,"£2,925",91,£29.09,£2.68,10.8,65,1.4,28.5,91.60%,98.70%,6,16,4,1,1
6496 LDN PENGE HIGH ST EXP,Convenience London,GREATER LONDON,"£2,160",76,£25.33,£2.63,9.6,58,1.3,20.9,98.70%,96.40%,4,8,4,1,4
6530 168 FULHAM PAL RD EXP,Convenience London,GREATER LONDON,"£1,906",63,£27.43,£2.53,10.8,45,1.4,24.4,96.80%,99.10%,5,11,4,1,3
6753 WATFORD LANGLEY EXP,Convenience London,SOUTH EAST,"£1,632",49,£30.30,£2.36,12.8,46,1.1,30.5,93.90%,96.90%,4,17,6,2,2
6755 GLASGOW GT WESTRN EXP,Convenience North,WEST SCOTLAND,£625,17,£33.89,£2.40,14.1,15,1.1,36.6,88.20%,96.80%,4,24,6,1,1
6763 TOOTING LONDON RD EXP,Convenience London,GREATER LONDON,£991,34,£26.04,£2.14,12.1,27,1.3,21.2,100.00%,98.50%,5,9,3,1,3
6777 KIDDERMINSTER S R EXP,Convenience Central,MIDLANDS,"£4,400",144,£27.43,£2.56,10.7,94,1.5,25,98.60%,100.00%,5,13,3,2,2
6820 ASHFORD STAINES EXP,Convenience London,SOUTH EAST,"£15,560",487,£28.86,£2.63,11,337,1.4,21.3,99.60%,98.30%,6,6,4,2,3
2001 Pittodrie Esso Express,Convenience North,EAST SCOTLAND,"£4,183",123,£31.01,£3.12,9.9,106,1.2,55.5,65.30%,97.20%,8,39,3,3,2
2003 Twickenham King Street Express,Convenience London,SOUTH EAST,£584,20,£26.34,£2.91,9.1,18,1.1,42,81.00%,99.40%,8,25,4,1,5
2004 Croydon Addiscombe Esso Express,Convenience London,GREATER LONDON,"£6,873",222,£27.89,£2.59,10.8,161,1.4,24.3,95.50%,98.80%,4,13,3,1,3
2005 Northampton Abington Esso Express,Convenience Central,MIDLANDS,"£3,570",108,£29.90,£2.53,11.8,83,1.3,24.4,98.10%,98.90%,7,10,3,2,2
2009 Preston Road Express,Convenience North,NORTH WEST,"£6,722",200,£30.50,£2.32,13.1,160,1.3,32.3,97.00%,98.40%,8,13,4,2,5
2011 Abergavenny Frogmore Street Express,Convenience South,WALES,"£2,669",76,£32.06,£2.76,11.6,53,1.4,41.4,84.20%,98.50%,6,26,5,2,3
2012 Acton Esso Express,Convenience London,GREATER LONDON,"£2,810",84,£30.31,£2.61,11.6,72,1.2,26.6,96.50%,99.00%,7,13,3,1,2
2013 Swindon Abbey Meads Express,Convenience South,SOUTH CENTRAL,"£1,687",55,£27.61,£2.69,10.3,39,1.4,28.5,94.50%,99.10%,7,14,3,2,2
2018 Dundee Station Express,Convenience North,EAST SCOTLAND,"£1,544",47,£29.94,£2.94,10.2,34,1.4,43,91.30%,99.20%,11,25,3,3,1
2026 Strutton Ground Express,Convenience London,GREATER LONDON,£593,20,£26.51,£2.34,11.4,16,1.3,25.7,95.00%,99.40%,3,16,4,2,1
2032 Andover Cricketers Express,Convenience South,SOUTH CENTRAL,"£11,251",388,£25.86,£2.47,10.5,262,1.5,36.9,85.00%,99.20%,6,23,3,2,3
2034 Keldholme Lane Express,Convenience Central,MIDLANDS,"£1,759",61,£25.86,£2.54,10.2,36,1.7,22.3,96.80%,97.50%,6,12,3,1,1
2036 Lambs Farm Road Express,Convenience South,SOUTH EAST,"£4,222",126,£30.48,£2.75,11.1,94,1.3,33.7,87.10%,99.60%,5,23,3,2,1
2043 Aylesbury Jackson Rd Express,Convenience Central,SOUTH EAST,"£6,162",181,£30.95,£2.87,10.8,134,1.4,22.3,100.00%,99.40%,6,8,3,2,2
2053 Yate Wellington Express,Convenience South,SOUTH CENTRAL,"£1,706",54,£28.40,£2.78,10.2,38,1.4,25.8,94.40%,96.90%,4,16,3,2,1
2054 Swindon Pinehurst,Convenience South,SOUTH CENTRAL,"£9,337",280,£30.26,£2.77,10.9,204,1.4,25.9,97.90%,98.60%,7,11,4,2,2
2058 Barking Esso Express,Convenience London,SOUTH EAST,"£6,763",238,£25.45,£2.54,10,159,1.5,28,94.50%,99.10%,7,14,4,1,2
2059 Bear Cross Express,Convenience South,SOUTH CENTRAL,"£3,797",122,£28.04,£2.65,10.6,79,1.5,36.5,89.40%,99.30%,5,22,4,2,3
2062 Osidge Hampden Square Express,Convenience London,GREATER LONDON,"£3,134",89,£32.10,£2.75,11.7,64,1.4,19.8,98.90%,99.90%,4,8,4,1,3
2066 Barnes Esso Express,Convenience London,GREATER LONDON,"£1,716",52,£29.95,£2.54,11.8,39,1.3,32.6,94.20%,97.30%,5,18,5,1,4
2068 Sinfin Express,Convenience Central,MIDLANDS,"£1,462",49,£26.85,£2.97,9,30,1.6,18.8,100.00%,98.90%,6,7,3,2,1
2069 Quartz Way,Convenience South,SOUTH EAST,"£4,367",135,£29.32,£2.61,11.2,92,1.5,28.8,94.70%,99.80%,6,15,3,2,3
2074 Aylestone Lane Express,Convenience Central,MIDLANDS,"£3,482",121,£25.68,£2.64,9.7,89,1.4,22.9,100.00%,98.40%,8,7,3,2,3
2084 Huyton Hillside Express,Convenience North,NORTH WEST,"£6,699",218,£27.71,£2.76,10.1,159,1.4,32.6,88.00%,98.20%,7,17,3,1,4
2090 Stretford Road Express,Convenience North,NORTH WEST,"£3,894",127,£27.75,£2.60,10.7,96,1.3,26.8,94.30%,98.80%,5,14,3,1,3
2097 Bishopsgate Express,Convenience London,GREATER LONDON,£157,3,£49.20,£3.07,16,1,3,33.7,100.00%,92.30%,3,13,9,4,5
2110 Gillygate York Express,Convenience North,NORTH EAST,"£5,462",179,£27.49,£2.40,11.4,141,1.3,35.8,89.60%,98.90%,11,14,4,1,6
2111 Broadstone Express,Convenience South,SOUTH CENTRAL,"£5,855",165,£32.43,£2.47,13.1,123,1.3,36,91.00%,99.20%,7,20,4,2,3
2112 Oldmixon Broadway Express,Convenience South,SOUTH CENTRAL,£357,10,£32.58,£4.23,7.7,9,1.1,43.8,80.00%,100.00%,3,35,3,3,1
2114 High Street Rayleigh Express,Convenience Central,SOUTH EAST,"£4,156",125,£30.18,£2.58,11.7,93,1.3,33.2,94.40%,99.20%,6,18,4,2,3
2118 Colchester Express,Convenience Central,SOUTH EAST,"£4,285",134,£28.80,£2.72,10.6,99,1.4,30.8,96.30%,99.80%,9,14,3,2,3
2119 Marketfield Way Express,Convenience South,SOUTH EAST,"£7,060",211,£30.34,£2.63,11.5,166,1.3,37.9,87.80%,99.60%,7,22,3,3,3
2121 Blackwood Newport Express,Convenience South,WALES,"£10,814",315,£31.30,£2.70,11.6,233,1.4,32.4,94.00%,97.90%,9,14,4,2,4
2123 Bower Manor Express,Convenience South,SOUTH CENTRAL,"£1,550",43,£32.85,£2.94,11.2,30,1.4,27.4,100.00%,99.70%,6,12,4,2,4
2129 Bristol Broadmead Express,Convenience South,SOUTH CENTRAL,"£1,859",50,£34.03,£2.20,15.4,45,1.1,29.4,96.00%,99.70%,8,9,7,2,3
2133 Moor Lane Express,Convenience North,NORTH WEST,"£1,151",45,£22.50,£2.88,7.8,28,1.6,24.9,100.00%,94.40%,6,10,4,3,3
2137 Howard Gardens Express,Convenience South,WALES,£282,10,£24.98,£2.66,9.4,10,1,29.9,90.00%,97.70%,5,17,3,1,4
2145 Wembley Watford Road Express,Convenience London,SOUTH EAST,"£1,179",41,£25.51,£2.21,11.5,28,1.5,25.6,97.60%,97.40%,5,11,4,1,4
2150 Castle Bromwich Express,Convenience Central,MIDLANDS,"£8,199",238,£31.29,£2.73,11.5,170,1.4,28.2,98.30%,98.90%,9,12,3,1,3
2159 Birkenhead Express,Convenience North,NORTH WEST,"£10,026",307,£29.77,£2.79,10.7,211,1.5,33.3,91.40%,99.30%,11,16,3,1,2
2161 Stockwell Esso Express,Convenience London,GREATER LONDON,"£3,634",114,£28.86,£2.41,12,95,1.2,31.4,93.00%,96.80%,6,16,4,2,4
2175 Bitterne Esso Express,Convenience South,SOUTH CENTRAL,"£4,002",131,£27.34,£2.47,11.1,83,1.6,28,97.10%,97.60%,5,14,4,1,4
2178 Rochdale Bamford Express,Convenience North,NORTH WEST,"£1,178",44,£23.44,£2.50,9.4,36,1.2,25.8,100.00%,97.40%,6,9,3,2,6
2181 Bushey Heath Esso Express,Convenience London,SOUTH EAST,"£5,323",134,£36.57,£2.56,14.3,100,1.3,30.1,98.50%,97.80%,5,14,5,2,4
2183 Basford Esso Express,Convenience Central,MIDLANDS,"£2,721",78,£31.78,£2.61,12.2,63,1.2,22.8,97.50%,100.00%,7,10,3,1,1
2184 Fir Tree Road Express,Convenience London,SOUTH EAST,"£2,939",86,£30.89,£2.66,11.6,71,1.2,28.3,93.00%,98.90%,6,14,4,2,2
2185 Bushbury Esso Express,Convenience Central,MIDLANDS,"£4,915",140,£32.11,£2.90,11.1,104,1.3,23.3,94.30%,99.30%,6,12,3,1,2
2189 Bury Esso Express,Convenience North,NORTH WEST,"£4,676",160,£26.41,£3.00,8.8,104,1.5,29,93.30%,99.30%,6,17,3,1,2
2191 Banstead Express,Convenience London,SOUTH EAST,"£1,570",56,£24.88,£2.59,9.6,45,1.2,34.8,89.30%,98.70%,6,21,3,2,2
2192 Bourne Esso Express,Convenience Central,MIDLANDS,"£5,335",170,£28.39,£2.69,10.5,107,1.6,36.7,88.70%,99.70%,6,23,3,2,2
2194 Bognor Regis Station Rd Express,Convenience South,SOUTH EAST,"£9,924",308,£29.09,£3.05,9.5,225,1.4,29.1,95.20%,98.90%,7,15,3,2,2
2196 Wilmslow Alderley Rd Express,Convenience North,MIDLANDS,"£4,745",139,£30.98,£2.72,11.4,101,1.4,33,95.00%,98.40%,7,18,3,3,2
2197 Alkrington Express,Convenience North,NORTH WEST,"£11,425",370,£27.81,£2.90,9.6,276,1.3,32.8,91.40%,98.40%,9,15,3,1,4
2203 Bromley Esso Express,Convenience London,SOUTH EAST,"£4,817",157,£27.72,£2.78,10,124,1.3,31,91.00%,95.30%,6,17,3,1,4
2205 Clifton Express,Convenience South,SOUTH CENTRAL,£805,27,£26.97,£2.14,12.6,25,1.1,37.7,80.80%,100.00%,6,24,5,2,1
2206 Brandlesholme Express,Convenience North,NORTH WEST,"£5,775",167,£31.51,£2.82,11.2,115,1.5,26.1,96.40%,99.10%,7,12,3,1,3
2207 Durham Claypath Express,Convenience North,NORTH EAST,"£5,191",152,£31.11,£2.39,13,127,1.2,43.7,82.00%,98.80%,8,26,4,2,3
2208 Bexhill-on-sea Express,Convenience South,SOUTH EAST,"£5,089",180,£25.15,£2.53,10,137,1.3,30.2,96.10%,99.50%,7,16,3,2,2
2210 Bushfield Centre Express,Convenience Central,MIDLANDS,"£2,646",87,£27.19,£2.76,9.9,60,1.5,26.1,96.60%,98.10%,5,14,3,2,2
2211 Tooting Balham High Rd Esso Express,Convenience London,GREATER LONDON,"£2,621",74,£32.25,£2.79,11.5,56,1.3,29.2,96.10%,98.00%,6,14,5,1,3
2213 Camden Esso Express,Convenience London,GREATER LONDON,"£2,023",67,£27.25,£2.41,11.3,49,1.4,24,98.50%,98.60%,5,11,4,2,2
2216 Petty Cury Express,Convenience Central,EAST ANGLIA,"£1,146",35,£29.57,£3.03,9.8,28,1.3,26.5,97.10%,99.00%,7,14,3,1,2
2219 Castle Bromwich Green Ln Express,Convenience Central,MIDLANDS,"£1,690",60,£25.05,£2.37,10.6,49,1.2,25.5,96.70%,98.10%,6,12,3,1,4
2223 Petersfield Charles St Express,Convenience South,SOUTH CENTRAL,"£3,281",112,£26.20,£2.70,9.7,81,1.4,45.2,74.80%,99.70%,5,33,3,2,3
2225 Cambridge Campkin Rd Express,Convenience Central,EAST ANGLIA,"£5,688",178,£28.89,£2.48,11.6,127,1.4,27.2,95.50%,99.00%,8,12,4,1,3
2229 Cherry Hinton Express,Convenience Central,EAST ANGLIA,"£6,568",207,£28.66,£2.59,11.1,150,1.4,26.5,95.10%,98.20%,6,11,4,1,3
2231 Cheney Manor Express,Convenience South,SOUTH CENTRAL,"£2,590",86,£27.04,£2.63,10.3,68,1.3,34.3,95.30%,97.80%,5,23,3,2,1
2236 Camborne Superstore,Large South,SOUTH WEST,"£9,302",228,£37.81,£2.42,15.6,168,1.4,39.2,89.00%,98.70%,9,20,6,2,3
2242 Canton Cardiff City Express,Convenience South,WALES,"£2,673",81,£30.05,£2.65,11.3,57,1.4,23.5,98.80%,98.60%,4,10,5,1,3
2247 Caversham Esso Express,Convenience South,SOUTH EAST,"£2,664",73,£33.41,£2.96,11.3,52,1.4,27,93.20%,99.80%,5,15,3,1,3
2256 Chelsea Esso Express,Convenience London,GREATER LONDON,"£1,942",51,£35.15,£3.15,11.2,36,1.4,22.6,98.00%,99.10%,5,11,4,1,2
2257 Chaddesden Esso Express,Convenience Central,MIDLANDS,"£2,613",79,£29.97,£3.05,9.8,59,1.3,25.2,96.20%,99.20%,8,12,3,1,2
2259 Sutton Malden Rd Esso Express,Convenience London,SOUTH EAST,"£4,062",132,£27.71,£2.61,10.6,89,1.5,24.4,96.20%,99.70%,6,13,3,1,2
2263 Chesterfield Esso Express,Convenience North,MIDLANDS,"£8,384",226,£34.06,£2.88,11.8,174,1.3,45.7,81.30%,99.30%,6,32,3,2,3
2265 Bank Express Express,Convenience London,GREATER LONDON,£17,1,£15.89,£0.79,20,1,1,123.7,0.00%,95.20%,11,41,23,4,44
2271 Cheshunt Superstore,Large South,SOUTH EAST,"£22,681",640,£32.42,£2.64,12.3,468,1.4,29.3,97.40%,99.70%,7,11,4,1,5
2277 Churchtown Esso Express,Convenience North,NORTH WEST,"£3,298",92,£32.80,£2.36,13.9,73,1.3,42.4,83.90%,99.40%,6,27,4,3,3
2282 Christchurch Esso Express,Convenience South,SOUTH CENTRAL,"£3,024",97,£28.03,£2.64,10.6,74,1.3,34.6,86.00%,99.30%,5,20,3,2,4
2285 Chesterfield Clowne Superstore,Large North,MIDLANDS,"£1,835",53,£31.87,£2.50,12.8,42,1.3,47.4,77.10%,93.20%,8,22,10,2,5
2299 Covent Garden Express,Convenience London,GREATER LONDON,£445,13,£31.33,£3.99,7.8,8,1.6,38.4,85.70%,100.00%,4,22,4,3,6
2302 Coventry Jubilee Crescent Express,Convenience Central,MIDLANDS,"£11,270",295,£35.14,£2.52,13.9,231,1.3,26.3,99.30%,99.20%,11,6,4,1,4
2304 Barton Express,Convenience South,SOUTH WEST,"£1,336",47,£25.48,£2.70,9.4,30,1.6,77.4,36.20%,100.00%,5,64,3,2,3
2309 Hendon Brent St Express,Convenience London,GREATER LONDON,"£14,162",394,£32.89,£2.40,13.7,313,1.3,31.4,91.10%,98.50%,8,15,4,1,3
2317 Cheadle Hulme Express,Convenience North,MIDLANDS,"£3,074",89,£31.42,£2.58,12.2,68,1.3,33.2,93.30%,98.90%,8,17,4,1,2
2318 Chessington Hook Express,Convenience London,SOUTH EAST,"£4,089",128,£28.96,£2.57,11.3,95,1.3,26.2,93.00%,100.00%,5,15,3,1,2
2319 Witney Cogges Hill Express,Convenience Central,SOUTH CENTRAL,£666,26,£22.88,£2.67,8.6,21,1.2,40.4,88.00%,98.40%,5,30,3,2,1
2331 High Street Sandyford Express,Convenience Central,MIDLANDS,"£3,870",126,£27.53,£2.63,10.5,94,1.3,22.5,97.60%,98.30%,7,7,3,2,3
2332 Blackpool Ansdell Rd Express,Convenience North,NORTH WEST,"£1,386",49,£25.39,£2.50,10.2,31,1.6,26.9,91.70%,98.60%,3,17,4,1,2
2333 Yeovil Abbey Manor Express,Convenience South,SOUTH CENTRAL,"£4,337",129,£30.55,£2.76,11.1,92,1.4,41.7,82.20%,99.50%,6,27,4,2,3
2334 Frimley Balmoral Dr Express,Convenience South,SOUTH EAST,"£5,964",166,£32.81,£2.70,12.2,135,1.2,37.8,89.90%,99.10%,8,22,4,3,1
2337 Wistaston Express,Convenience Central,MIDLANDS,"£3,964",118,£30.74,£2.96,10.4,88,1.3,36.3,88.10%,99.20%,8,21,3,1,3
2338 Combe Down Esso Express,Convenience South,SOUTH CENTRAL,"£1,151",29,£36.48,£3.03,12,19,1.5,30.1,100.00%,99.30%,5,17,4,2,1
2339 Copnor Esso Express,Convenience South,SOUTH CENTRAL,"£4,824",154,£28.18,£2.58,10.9,110,1.4,20.6,99.40%,98.80%,5,9,3,2,3
2341 Cowley Esso Express,Convenience London,SOUTH EAST,"£8,978",285,£28.43,£2.54,11.2,205,1.4,23.1,98.30%,99.20%,6,9,4,1,3
2342 Colliers Wood Esso Express,Convenience London,GREATER LONDON,"£3,314",117,£25.26,£2.50,10.1,86,1.4,25.3,99.20%,97.00%,7,11,4,1,2
2344 Hall Green Stratford Express,Convenience Central,MIDLANDS,"£4,652",129,£32.90,£2.53,13,97,1.3,18.6,100.00%,99.60%,6,7,3,1,1
2345 Catford Express,Convenience London,GREATER LONDON,"£5,261",166,£28.53,£2.78,10.3,121,1.4,27.3,95.80%,98.50%,6,13,4,1,3
2346 Abbeymead Mead Rd Express,Convenience Central,SOUTH CENTRAL,"£6,679",218,£27.46,£2.57,10.7,154,1.4,29.1,94.50%,98.00%,7,14,3,2,3
2347 Blackfield Express,Convenience South,SOUTH CENTRAL,"£5,838",187,£28.14,£2.53,11.1,136,1.4,53.3,65.60%,99.90%,5,40,3,2,3
2351 Bletchley Melrose Ave Express,Convenience Central,SOUTH EAST,"£5,125",175,£26.09,£2.83,9.2,118,1.5,27.8,98.30%,98.90%,6,15,3,1,2
2353 Bentley Express,Convenience North,NORTH EAST,"£2,997",96,£28.05,£2.88,9.7,62,1.5,28.6,94.80%,99.50%,6,16,3,2,2
2356 Chesterton Cirencester Express,Convenience Central,SOUTH CENTRAL,"£6,084",181,£30.66,£2.59,11.8,138,1.3,37.8,86.40%,99.50%,7,24,3,2,2
2357 Chafford Hundred Express,Convenience Central,SOUTH EAST,"£3,901",140,£24.79,£2.40,10.3,99,1.4,31.2,93.50%,99.90%,7,17,4,1,2
2359 Bookham Express,Convenience South,SOUTH EAST,"£2,579",91,£25.32,£2.81,9,72,1.3,39.8,91.30%,96.70%,4,28,4,2,2
2364 Poundhill Express,Convenience South,SOUTH EAST,"£14,362",458,£28.23,£2.61,10.8,318,1.4,27.3,97.60%,99.30%,8,12,3,1,4
2366 Chilwell Express,Convenience Central,MIDLANDS,"£5,394",167,£29.26,£2.73,10.7,129,1.3,25.1,100.00%,99.50%,8,9,3,2,2
2367 Church Gresley Express,Convenience Central,MIDLANDS,"£2,395",68,£32.12,£2.94,10.9,51,1.3,26.3,95.60%,99.30%,5,14,3,2,1
2369 Daventry Ashby Fields Express,Convenience Central,MIDLANDS,"£19,272",613,£28.33,£2.56,11.1,422,1.5,26.6,97.20%,98.90%,6,11,4,2,4
2373 Dartford Esso Express,Convenience London,SOUTH EAST,"£5,090",167,£27.37,£2.85,9.6,119,1.4,29.2,97.00%,98.50%,6,15,4,1,3
2374 Hythe Esso Express,Convenience South,SOUTH CENTRAL,"£7,017",223,£28.37,£2.51,11.3,146,1.5,45.7,78.60%,97.80%,6,30,4,2,4
2376 Didsbury Express,Convenience North,NORTH WEST,"£3,601",110,£29.74,£2.71,11,84,1.3,28.9,92.60%,99.00%,6,18,3,1,1
2377 Soho Dean Street Express,Convenience London,GREATER LONDON,£823,19,£39.81,£3.44,11.6,13,1.5,27.2,94.70%,98.90%,5,10,3,3,6
2379 Crawley Downland Dr Express,Convenience South,SOUTH EAST,"£17,117",547,£28.15,£2.36,11.9,398,1.4,26.3,98.20%,99.40%,7,11,4,2,3
2380 Alvaston Express,Convenience Central,MIDLANDS,"£4,324",138,£28.27,£2.47,11.5,89,1.6,22,98.50%,98.40%,6,8,4,1,3
2382 Caerphilly Express,Convenience South,WALES,"£2,661",72,£33.84,£2.83,12,53,1.4,28.6,97.20%,99.40%,6,15,4,2,2
2383 Crouch End Express,Convenience London,GREATER LONDON,"£4,523",132,£31.27,£2.79,11.2,88,1.5,31.4,93.80%,99.00%,6,18,4,1,2
2386 Dudley Highland Rd Esso Express,Convenience Central,MIDLANDS,"£13,149",382,£31.38,£2.67,11.7,258,1.5,26.2,97.70%,99.40%,9,10,4,1,3
2404 Derby Mickleover Superstore,Large Central,MIDLANDS,"£6,090",145,£38.91,£2.53,15.4,112,1.3,32.9,96.60%,96.30%,7,10,9,2,5
2446 East Hunsbury Express,Convenience Central,MIDLANDS,"£12,480",366,£31.03,£2.67,11.6,264,1.4,26.4,97.80%,99.40%,8,12,3,2,2
2452 Eastleigh The Swan Centre Express,Convenience South,SOUTH CENTRAL,"£4,187",116,£33.13,£2.64,12.5,92,1.3,38.6,87.70%,97.00%,7,20,6,2,4
2455 Eccles Esso Express,Convenience North,NORTH WEST,"£2,370",75,£28.61,£2.71,10.5,48,1.6,31.6,92.00%,97.70%,6,18,3,1,3
2456 Edgware Canons Corner Esso Express,Convenience London,SOUTH EAST,"£1,781",62,£25.61,£2.55,10,45,1.4,19.2,96.80%,99.30%,4,9,3,1,2
2459 Willowbrae Rd Esso Express,Convenience North,EAST SCOTLAND,"£4,495",143,£28.38,£2.66,10.7,107,1.3,38.4,88.10%,97.90%,10,20,4,1,2
2473 Enfield Esso Express,Convenience London,SOUTH EAST,"£13,595",464,£26.22,£2.47,10.6,322,1.4,27,97.90%,98.30%,8,11,3,1,3
2475 Emmer Green Esso Express,Convenience South,SOUTH EAST,"£4,855",146,£30.20,£2.57,11.8,109,1.3,25.3,99.30%,99.50%,6,11,3,2,3
2477 Trowbridge Eastbourne Rd Express,Convenience South,SOUTH CENTRAL,"£5,823",192,£27.37,£2.62,10.4,126,1.5,47.7,74.20%,98.40%,6,33,4,2,2
2484 Erdington Esso Express,Convenience Central,MIDLANDS,"£3,862",114,£30.97,£2.55,12.1,87,1.3,25.4,98.30%,97.90%,7,11,4,2,2
2491 Eaton Socon Express,Convenience Central,EAST ANGLIA,"£6,762",197,£31.16,£2.80,11.1,139,1.4,33.2,93.90%,98.50%,7,18,4,2,3
2492 Bristol Filton Esso Express,Convenience South,SOUTH CENTRAL,"£6,835",216,£28.52,£2.54,11.2,142,1.5,26.9,97.70%,99.80%,9,11,3,1,3
2493 Shenley Brook End Express,Convenience Central,SOUTH EAST,"£2,499",80,£28.09,£2.40,11.7,57,1.4,24.7,98.80%,99.10%,6,13,3,1,2
2496 Farlington Express,Convenience South,SOUTH CENTRAL,"£7,523",247,£27.26,£2.74,10,174,1.4,25.6,97.60%,99.50%,7,11,3,2,3
2498 Market Parade Express,Convenience Central,SOUTH CENTRAL,£373,14,£23.30,£2.65,8.8,10,1.4,27.6,100.00%,98.90%,3,15,4,3,2
2499 Witney Fettiplace Rd Express,Convenience Central,SOUTH CENTRAL,"£1,857",67,£24.79,£2.75,9,46,1.5,35.1,86.20%,97.50%,5,25,2,2,1
2500 Southport Birkdale Express,Convenience North,NORTH WEST,"£9,603",284,£30.81,£2.61,11.8,195,1.5,35.8,87.30%,98.50%,6,22,3,2,2
2501 Fazeley Express,Convenience Central,MIDLANDS,"£1,949",62,£28.26,£2.69,10.5,46,1.3,25.2,98.40%,99.20%,6,12,4,2,1
2503 Birmingham New Street Express,Convenience Central,MIDLANDS,£125,6,£17.22,£2.79,6.2,5,1.2,49.1,71.40%,93.20%,9,24,6,5,5
2504 Barnt Green Express,Convenience Central,MIDLANDS,"£3,150",75,£38.97,£3.33,11.7,40,1.9,24.2,98.70%,98.40%,5,11,4,2,2
2506 Armada Chafford Express,Convenience Central,SOUTH EAST,"£3,756",133,£25.19,£2.73,9.2,88,1.5,29,93.30%,98.70%,7,16,3,1,2
2513 Bradley Stoke Baileys Court Express,Convenience South,SOUTH CENTRAL,"£5,901",197,£26.77,£2.63,10.2,132,1.5,23.1,99.00%,99.00%,6,10,4,1,3
2514 Calmore Express,Convenience South,SOUTH CENTRAL,"£1,397",48,£25.94,£2.52,10.3,34,1.4,24.1,95.80%,98.10%,3,14,4,1,2
2516 Ancells Farm Express,Convenience South,SOUTH CENTRAL,"£3,417",108,£28.52,£2.78,10.3,88,1.2,35.3,90.80%,99.60%,8,22,3,2,1
2518 Swindon Freshbrook Express,Convenience South,SOUTH CENTRAL,"£1,562",55,£25.25,£2.70,9.3,34,1.6,29.6,98.20%,98.60%,5,19,3,2,2
2519 Flint Express,Convenience Central,WALES,"£1,862",63,£26.51,£3.15,8.4,44,1.4,33.1,90.30%,99.50%,5,23,2,2,1
2521 Chippenham Foundry Ln Express,Convenience South,SOUTH CENTRAL,"£4,252",119,£32.51,£2.87,11.3,77,1.5,38.2,81.40%,100.00%,6,27,2,2,1
2522 Falmouth Killigrew Express,Convenience South,SOUTH WEST,"£2,502",81,£28.03,£2.55,11,63,1.3,62.3,54.50%,100.00%,7,45,5,2,4
2523 Fishponds Express,Convenience South,SOUTH CENTRAL,"£3,305",100,£30.04,£2.65,11.4,74,1.4,27.5,98.00%,99.30%,8,13,4,2,1
2527 Felixstowe Hamilton Road Express,Convenience Central,EAST ANGLIA,"£4,693",138,£30.99,£2.25,13.8,110,1.3,40.5,85.10%,99.30%,8,24,4,2,2
2531 St Leonards-on-sea Fernside Express,Convenience South,SOUTH EAST,"£8,710",290,£27.00,£2.66,10.1,216,1.3,25.8,97.60%,99.50%,6,13,3,2,3
2550 Falkirk Grahams Rd Superstore,Large North,EAST SCOTLAND,"£9,293",243,£35.25,£2.54,13.9,191,1.3,54.6,67.80%,96.10%,9,20,12,3,10
2552 Fleet Esso Express,Convenience South,SOUTH CENTRAL,"£4,347",130,£30.36,£2.43,12.5,95,1.4,30.7,94.60%,99.50%,6,19,3,2,1
2553 Fulham Kings Rd Esso Express,Convenience London,GREATER LONDON,"£1,617",51,£28.47,£3.11,9.2,37,1.4,27.4,96.10%,99.30%,5,16,3,1,1
