Store  ,Format Desc  ,Region ,"Total Sales (Sales Inc VAT, Inc DI)",Completed Order Count,Avg Basket Size (Prod Sales),AIP,IPO,Distinct Customers,Frequency,Avg E2E: total delivery time,DOT% (60 mins),Pick availability (pre-sub),Avg E2E: dispatched to arrived at customer,Avg E2E: pick end to dispatched,Avg E2E: pick trip time,Avg E2E: time at customer door,Avg E2E: time to respond to pick
6607 Gosport Forton Rd Express,Convenience South,SOUTH CENTRAL,"£5,016",155,£29.26,£2.52,11.6,124,1.3,36.1,87.70%,99.30%,5,23,3,2,3
6610 Didsbury Wilmslow Rd Express,Convenience North,NORTH WEST,"£5,035",152,£30.04,£2.60,11.6,119,1.3,31.4,92.70%,98.00%,7,16,4,1,3
6611 Walthamstow Forest Rd Express,Convenience London,GREATER LONDON,"£6,665",234,£25.32,£2.67,9.5,146,1.6,22.1,97.00%,98.90%,5,10,3,1,2
6613 Holmefield Rd Abl Express,Convenience North,NORTH WEST,"£5,033",143,£32.18,£2.56,12.6,107,1.3,33,93.00%,97.70%,7,17,4,1,4
6614 Greenford Lady Margaret Rd Express,Convenience London,SOUTH EAST,"£3,492",124,£25.13,£2.75,9.1,95,1.3,32.9,91.90%,98.00%,7,14,5,1,5
6615 Dewsbury Leeds Rd Express,Convenience North,NORTH EAST,"£4,432",136,£29.59,£2.77,10.7,87,1.6,26.3,94.80%,98.60%,8,13,3,1,2
6616 West Drayton Station Rd Express,Convenience London,SOUTH EAST,"£12,991",403,£29.13,£2.86,10.2,247,1.6,21.5,99.00%,99.10%,6,8,3,1,3
6617 Edgware Mollisonway Express,Convenience London,SOUTH EAST,"£2,709",99,£24.17,£3.07,7.9,62,1.6,24.6,99.00%,98.40%,6,12,3,1,3
6624 Priorswood Rd Express,Convenience South,SOUTH CENTRAL,"£3,661",107,£31.01,£2.75,11.3,85,1.3,34,90.70%,99.80%,5,20,3,2,3
6626 Hoddesdon Burford St Express,Convenience Central,SOUTH EAST,"£9,768",302,£29.21,£2.55,11.4,203,1.5,33.3,92.40%,99.10%,8,17,4,2,2
6629 Chelmsford Moulsham St Express,Convenience Central,SOUTH EAST,"£5,422",153,£32.37,£2.87,11.3,108,1.4,41.9,80.30%,99.60%,6,27,3,3,2
6630 Chatham Lords Wood Express,Convenience South,SOUTH EAST,"£7,506",238,£28.42,£2.44,11.6,176,1.4,32.5,95.80%,98.50%,7,17,4,2,3
6631 Ditherington Rd Express,Convenience Central,MIDLANDS,"£7,276",221,£29.79,£2.60,11.4,164,1.3,34,90.50%,99.10%,7,19,3,2,3
6637 Croydon South End Express,Convenience London,SOUTH EAST,"£5,222",184,£25.37,£2.69,9.4,131,1.4,19.6,99.40%,98.60%,5,6,3,3,2
6639 Stratford High St Express,Convenience London,GREATER LONDON,"£6,866",221,£28.13,£2.46,11.5,170,1.3,28.7,93.20%,99.50%,8,13,2,2,3
6640 Dagenham Shafter Rd Express,Convenience London,SOUTH EAST,"£2,305",88,£23.07,£2.48,9.3,69,1.3,23.9,97.80%,96.80%,5,10,4,1,3
6641 Leeds Burley Rd Express,Convenience North,NORTH EAST,"£1,371",50,£24.46,£2.09,11.7,44,1.1,29.6,93.90%,99.80%,7,13,4,2,4
6642 Rugby Helvelyn Way Express,Convenience Central,MIDLANDS,"£2,629",91,£25.80,£2.78,9.3,71,1.3,29.7,92.00%,99.00%,5,18,3,1,3
6644 Hoyland Superstore,Large North,NORTH EAST,"£4,180",119,£32.13,£2.37,13.6,95,1.3,36.4,90.70%,97.40%,8,16,7,2,4
6650 Ramsgate High St Express,Convenience South,SOUTH EAST,"£11,029",335,£29.87,£2.79,10.7,224,1.5,24.8,97.60%,99.80%,5,11,3,2,3
6656 Grimsby Express,Convenience North,MIDLANDS,"£8,129",270,£27.00,£2.41,11.2,196,1.4,25.6,98.20%,97.80%,7,10,4,2,3
6657 Newquay East Street Express,Convenience South,SOUTH WEST,£705,25,£25.16,£2.78,9,21,1.2,62,50.00%,99.00%,7,45,3,2,6
6658 Roseburn Express,Convenience North,EAST SCOTLAND,"£3,439",100,£31.42,£2.70,11.6,65,1.5,35.3,92.00%,98.10%,11,17,4,1,2
6659 Crawley Betts Way Express,Convenience South,SOUTH EAST,"£2,340",84,£24.79,£2.56,9.7,58,1.4,33.4,97.60%,99.20%,7,20,3,2,2
6660 Poole Wallisdown Rd Express,Convenience South,SOUTH CENTRAL,"£3,132",110,£25.34,£2.35,10.8,75,1.5,26.9,98.20%,99.00%,6,14,4,1,2
6661 Ashton Under Lyne Oldham Rd Express,Convenience North,NORTH WEST,"£5,080",150,£30.84,£2.69,11.5,121,1.2,35.3,91.80%,98.10%,10,16,4,1,4
6664 Angel Hill Express,Convenience London,SOUTH EAST,"£12,603",394,£28.92,£2.87,10.1,284,1.4,24.1,99.50%,98.90%,7,10,3,1,3
6665 Green Gate Barking Rd Express,Convenience London,GREATER LONDON,"£6,747",236,£25.49,£2.71,9.4,160,1.5,27.2,95.90%,98.60%,7,12,4,1,3
6666 Dartford E Hill Express,Convenience London,SOUTH EAST,"£7,235",238,£27.39,£2.72,10.1,171,1.4,27.6,96.60%,98.20%,7,14,3,1,3
6668 New Cavendish Express,Convenience London,GREATER LONDON,£412,12,£31.05,£2.23,13.9,9,1.3,21.7,100.00%,99.10%,4,10,3,3,2
6673 Southfields Replingham Rd Express,Convenience London,GREATER LONDON,£734,27,£24.26,£2.47,9.8,22,1.2,19.6,100.00%,94.80%,3,9,2,1,5
6675 Bexley Blackfen Rd Express,Convenience London,SOUTH EAST,"£6,976",247,£25.27,£2.55,9.9,152,1.6,23.8,98.00%,98.90%,5,12,4,1,2
